SampleID,Source,Testbed,Site,Depth,Remains,Flag,X,Y
eDNA-2022-01,Water,Saipan-deep,Midchannel,379,0,,,
eDNA-2022-02,Water,Saipan-deep,Midchannel,379,0,,,
eDNA-2022-03,Water,Saipan-deep,Midchannel,379,0,,,
eDNA-2022-04,Water,Saipan-deep,Midchannel,320,0,,,
eDNA-2022-05,Water,Saipan-deep,Midchannel,320,0,,,
eDNA-2022-06,Water,Saipan-deep,Midchannel,320,0,,,
eDNA-2022-07,Water,Saipan-deep,26R0008,290,1,,,
eDNA-2022-08,Water,Saipan-deep,28R0003,368,1,,,
eDNA-2022-09,Water,Saipan-deep,28R0003,368,1,,,
eDNA-2022-10,Water,Saipan-deep,28R0003,368,1,,,
eDNA-2022-106,Water,Saipan-shallow,Hellcat,8.5,1,O,-6.6,17.7
eDNA-2022-11,Water,Saipan-deep,26R0012,284,1,,,
eDNA-2022-12,Water,Saipan-deep,26R0012,284,1,,,
eDNA-2022-125,Water,Saipan-shallow,Hellcat,8.5,1,N,7.3,26.5
eDNA-2022-13,Water,Saipan-deep,26R0012,284,1,,,
eDNA-2022-14,Water,Saipan-deep,03R0004,289,1,,,
eDNA-2022-168,Water,Saipan-shallow,Avenger,4.5,1,G,0.305047207,-0.987688341
eDNA-2022-181,Water,Saipan-shallow,Avenger,4.5,1,N,-6.781409282,-8.081768875
eDNA-2022-200,Water,Saipan-shallow,Avenger,4.5,1,L,23.56400246,-10.98807481
eDNA-2022-219,Water,Saipan-shallow,Avenger,4.5,1,T,-0.695387891,-0.280954945
eDNA-2022-220,Water,Saipan-shallow,Avenger,4.5,1,O,0.788234591,0.226022632
eDNA-2022-221,Water,Saipan-shallow,Avenger,4.5,1,F,0,-1
eDNA-2022-222,Water,Saipan-shallow,Avenger,4.5,1,A,0.429154841,8.188762185
eDNA-2022-223,Water,Saipan-shallow,Avenger,4.5,1,E,2.506126292,-5.374405177
eDNA-2022-224,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-225,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-226,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-227,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-228,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-229,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-230,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-231,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-232,Water,Saipan-shallow,Mariner,7,0,,,
eDNA-2022-239,Water,GreatLakes,Grecian,30,0,N,0.3,0.3
eDNA-2022-240,Water,GreatLakes,Grecian,30,0,L,1.2,1.2
eDNA-2022-265,Water,GreatLakes,Pewabic,50,1,W,1.2,1.2
eDNA-2022-269,Water,GreatLakes,Pewabic,50,1,S,4.89,4.89
eDNA-2022-282,Water,GreatLakes,Pewabic,50,1,C,-1.2,1.2
eDNA-2022-283,Water,GreatLakes,Pewabic,50,1,AA,-4.89,4.89
eDNA-2022-284,Water,GreatLakes,Pewabic,50,1,T,-3.46,0
eDNA-2022-285,Water,GreatLakes,Pewabic,50,1,YAKUZ,0,0
eDNA-2022-286,Water,GreatLakes,Pewabic,50,1,B,0,3.46
eDNA-2022-287,Water,GreatLakes,Pewabic,50,1,X,3.46,0
eDNA-2022-288,Water,GreatLakes,Corsican,48,0,O,-3.46,0
eDNA-2022-292,Water,GreatLakes,Corsican,48,0,H,13.85,0
eDNA-2022-305,Water,GreatLakes,Corsican,48,0,J,-13.85,0
eDNA-2022-309,Water,GreatLakes,Corsican,48,0,V,0,3.46
eDNA-2022-319,Water,GreatLakes,Corsican,48,0,R,-1.2,1.2
eDNA-2022-329,Water,GreatLakes,Corsican,48,0,B,4.89,4.89
eDNA-2022-336,Water,GreatLakes,Corsican,48,0,A,1.2,1.2
eDNA-2022-340,Water,GreatLakes,Corsican,48,0,G,3.46,0
eDNA-2022-341,Water,GreatLakes,Corsican,48,0,CDNMF,0,0
eDNA-2022-351,Water,GreatLakes,Norman,60,1,L,-1.2,1.2
eDNA-2022-376,Water,GreatLakes,Norman,60,1,I,-4.89,4.89
eDNA-2022-377,Water,GreatLakes,Norman,60,1,DD,4.89,4.89
eDNA-2022-378,Water,GreatLakes,Norman,60,1,CJHG,0,0
eDNA-2022-379,Water,GreatLakes,Norman,60,1,II,-3.46,0
eDNA-2022-380,Water,GreatLakes,Norman,60,1,D,0,3.46
eDNA-2022-51,Water,Saipan-shallow,Hellcat,8.5,1,K,0.2,18
eDNA-2022-52,Water,Saipan-shallow,Hellcat,8.5,1,H,3.9,17.85
eDNA-2022-53,Water,Saipan-shallow,Hellcat,8.5,1,I,3.8,16.1
eDNA-2022-551,Water,Italy,Italy,75,1,U,13,13.3
eDNA-2022-552,Water,Italy,Italy,75,1,V,13.2,17.7
eDNA-2022-553,Water,Italy,Italy,75,1,A,12.8,22.8
eDNA-2022-554,Water,Italy,Italy,75,1,B,12.8,3.5
eDNA-2022-570,Water,Italy,Italy,75,1,P,20.1,24
eDNA-2022-571,Water,Italy,Italy,75,1,Z,18.4,14.1
eDNA-2022-590,Water,Italy,Italy,75,1,R,11,15.4
eDNA-2022-591,Water,Italy,Italy,75,1,W,7.4,13.9
eDNA-2022-60,Water,Saipan-shallow,Hellcat,8.5,1,F,3.8,20.1
