"",".id","ingroup_with_kegg","ingroup_without_kegg","outgroup_with_kegg","outgroup_without_kegg","fold_change","p_value","p_adjust","kegg","name"
"35","Italy_75",41,4,172,258,1.18762700317577,1.08896314055043e-11,6.4934872071022e-08,"K01669","phr, PHR1; deoxyribodipyrimidine photo-lyase"
"40","Italy_75",31,14,91,339,1.70274142344796,1.50751210222362e-10,8.98778715345723e-07,"K06876","phrB; (6-4)DNA photolyase [EC:4.1.99.13]"
"74","Italy_75",15,30,11,419,3.70379873023101,1.52936839945179e-10,9.1165650291321e-07,"K01281","pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]"
"61","Italy_75",19,26,25,405,2.86041107692865,2.00808399978159e-10,1.19681806386983e-06,"K10800","SMUG1; single-strand selective monofunctional"
"25","Italy_75",14,31,332,98,-1.31134475602954,8.29009950510807e-10,4.9400702950939e-06,"K04096","smf; DNA processing protein"
"82","Italy_75",11,34,4,426,4.71577137189708,1.69334572989428e-09,1.00889538587101e-05,"K06569","MFI2, CD228; melanoma-associated antigen"
"44","Italy_75",24,21,57,373,2.0084122398162,3.5014388724103e-09,2.08580713629482e-05,"K09966","K09966; uncharacterized protein "
"75","Italy_75",12,33,8,422,3.84130225398094,8.75196535968306e-09,5.21267056822723e-05,"K15059","amnB; 2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit"
"17","Italy_75",4,41,221,209,-2.53156280613165,9.12936215918489e-09,5.4365351657946e-05,"K01975","thpR; RNA 2',3'-cyclic 3'-phosphodiesterase"
"77","Italy_75",11,34,6,424,4.13080887117593,1.33470200091965e-08,7.9468157134756e-05,"K01135","ARSB; arylsulfatase B [EC:3.1.6.12]"
"63","Italy_75",14,31,16,414,3.06369467531739,3.01463546514603e-08,0.000179461249240143,"K09166","K09166; uncharacterized protein "
"65","Italy_75",13,32,13,417,3.25633975325979,3.71902361411371e-08,0.000221356285512048,"K15311","pksG, curD, aprE, corE;"
"83","Italy_75",9,36,3,427,4.84130225398094,4.99533997765164e-08,0.000297222728670272,"K04097","HPGDS; prostaglandin-H2 D-isomerase /"
"84","Italy_75",9,36,3,427,4.84130225398094,4.99533997765164e-08,0.000297222728670272,"K01565","SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]"
"59","Italy_75",15,30,21,409,2.77091292608954,5.75831545220639e-08,0.000342562186251758,"K15067","amnD; 2-aminomuconate deaminase [EC:3.5.99.5]"
