user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
megahit:Sediment_GreatLakes_Corsican_48_0_F_0.86_0:bin.5	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	N/A	N/A	N/A	N/A	N/A	GCA_903832665.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp903832665	82.71	0.81	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 84.14, 0.82; GCA_023228295.1, s__Methanoregula sp023228295, 95.0, 80.78, 0.32; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 79.88, 0.25; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 79.81, 0.37; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 79.53, 0.26; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 79.42, 0.37; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 79.37, 0.35; GCA_019695435.1, s__Methanoregula sp019695435, 95.0, 79.33, 0.23; GCA_023227875.1, s__Methanoregula sp023227875, 95.0, 79.29, 0.42; GCF_000017625.1, s__Methanoregula boonei, 95.0, 79.2, 0.21; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 78.94, 0.25; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 78.93, 0.37; GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 78.89, 0.23; GCA_003141335.1, s__Methanoregula sp003141335, 95.0, 78.86, 0.39; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 78.63, 0.28; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 78.55, 0.3; GCF_000327485.1, s__Methanoregula formicica, 95.0, 78.51, 0.35; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 78.12, 0.3; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 78.11, 0.25; GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 78.01, 0.26; GCA_003170075.1, s__Methanoregula sp003170075, 95.0, 77.92, 0.33; GCA_022710665.1, s__Methanoregula sp022710665, 95.0, 77.92, 0.25; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.91, 0.3	55.87	11	0.9839648468780972	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
megahit:Sediment_GreatLakes_Corsican_48_0_P_0_13.85:bin.5	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__	taxonomic classification defined by topology and ANI	N/A	GCA_001800745.1, s__RBG-16-68-12 sp001800745, 95.0, 79.4, 0.5; GCA_001800825.1, s__RBG-16-68-12 sp001800825, 95.0, 79.28, 0.69; GCA_005878515.1, s__RBG-16-68-12 sp005878515, 95.0, 79.04, 0.19; GCA_005878485.1, s__RBG-16-68-12 sp005878485, 95.0, 79.04, 0.31; GCA_005878985.1, s__RBG-16-68-12 sp005878985, 95.0, 78.27, 0.27; GCA_005878415.1, s__RBG-16-68-12 sp005878415, 95.0, 78.18, 0.35; GCA_021788795.1, s__RBG-16-68-12 sp021788795, 95.0, 78.07, 0.35; GCA_005878525.1, s__RBG-16-68-12 sp005878525, 95.0, 77.96, 0.23; GCA_005878385.1, s__RBG-16-68-12 sp005878385, 95.0, 77.78, 0.19; GCA_005879045.1, s__RBG-16-68-12 sp005879045, 95.0, 77.76, 0.27; GCA_005878995.1, s__RBG-16-68-12 sp005878995, 95.0, 77.49, 0.27; GCA_005879015.1, s__RBG-16-68-12 sp005879015, 95.0, 77.47, 0.35; GCA_005879065.1, s__RBG-16-68-12 sp005879065, 95.0, 77.4, 0.31; GCA_005878635.1, s__RBG-16-68-12 sp005878635, 95.0, 77.18, 0.19; GCA_005878665.1, s__RBG-16-68-12 sp005878665, 95.0, 77.07, 0.27; GCA_005878325.1, s__RBG-16-68-12 sp005878325, 95.0, 77.06, 0.27; GCA_005878615.1, s__RBG-16-68-12 sp005878615, 95.0, 76.86, 0.27; GCA_013329855.1, s__RBG-16-68-12 sp8695u, 95.0, 76.48, 0.38	32.27	11	0.8414992853866332	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
megahit:Sediment_GreatLakes_Norman_60_1_G_0.86_0:bin.6	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.4	11	0.8900746192797444	N/A
megahit:Sediment_GreatLakes_Norman_60_1_L_-1.2_1.2:bin.6	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__	N/A	N/A	N/A	N/A	N/A	GCA_005878325.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005878325	79.19	0.4	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__	taxonomic classification defined by topology and ANI	N/A	GCA_005879065.1, s__RBG-16-68-12 sp005879065, 95.0, 79.87, 0.46; GCA_005879015.1, s__RBG-16-68-12 sp005879015, 95.0, 79.77, 0.4; GCA_005878615.1, s__RBG-16-68-12 sp005878615, 95.0, 79.58, 0.48; GCA_005878385.1, s__RBG-16-68-12 sp005878385, 95.0, 79.47, 0.47; GCA_005878635.1, s__RBG-16-68-12 sp005878635, 95.0, 79.15, 0.43; GCA_005878985.1, s__RBG-16-68-12 sp005878985, 95.0, 79.11, 0.46; GCA_005878525.1, s__RBG-16-68-12 sp005878525, 95.0, 79.0, 0.44; GCA_005878665.1, s__RBG-16-68-12 sp005878665, 95.0, 78.76, 0.41; GCA_005878415.1, s__RBG-16-68-12 sp005878415, 95.0, 78.75, 0.39; GCA_005878515.1, s__RBG-16-68-12 sp005878515, 95.0, 78.75, 0.39; GCA_005878485.1, s__RBG-16-68-12 sp005878485, 95.0, 78.64, 0.41; GCA_005878995.1, s__RBG-16-68-12 sp005878995, 95.0, 78.6, 0.35; GCA_005879045.1, s__RBG-16-68-12 sp005879045, 95.0, 78.6, 0.35; GCA_001800745.1, s__RBG-16-68-12 sp001800745, 95.0, 78.5, 0.26; GCA_001800825.1, s__RBG-16-68-12 sp001800825, 95.0, 78.24, 0.42; GCA_021788795.1, s__RBG-16-68-12 sp021788795, 95.0, 77.85, 0.31; GCA_013329855.1, s__RBG-16-68-12 sp8695u, 95.0, 77.61, 0.21	84.25	11	0.9455729187071993	N/A
megahit:Sediment_GreatLakes_Pewabic_50_1_AA_-4.89_4.89:bin.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	ANI	N/A	GCF_002487355.1, s__Methanoperedens sp002487355, 95.0, 79.57, 0.44; GCA_905339155.1, s__Methanoperedens sp905339155, 95.0, 79.54, 0.38; GCA_902384525.1, s__Methanoperedens sp902384525, 95.0, 79.08, 0.39; GCA_021409285.1, s__Methanoperedens sp021409285, 95.0, 78.74, 0.2; GCA_012026795.1, s__Methanoperedens sp012026795, 95.0, 78.69, 0.39; GCA_003104905.1, s__Methanoperedens sp003104905, 95.0, 78.56, 0.35; GCA_018899795.1, s__Methanoperedens sp018899795, 95.0, 78.22, 0.19; GCA_018900975.1, s__Methanoperedens sp018900975, 95.0, 77.99, 0.18; GCA_023249105.1, s__Methanoperedens sp023249105, 95.0, 77.93, 0.24; GCA_902386255.1, s__Methanoperedens sp902386255, 95.0, 77.47, 0.22; GCF_900196725.1, s__Methanoperedens nitroreducens_A, 95.0, 77.43, 0.16; GCA_902386205.1, s__Methanoperedens sp902386205, 95.0, 77.37, 0.17; GCA_012026835.1, s__Methanoperedens sp012026835, 95.0, 77.31, 0.17; GCA_023249275.1, s__Methanoperedens sp023249275, 95.0, 77.25, 0.26; GCA_902386115.1, s__Methanoperedens sp902386115, 95.0, 77.24, 0.16; GCF_000685155.1, s__Methanoperedens nitroreducens, 95.0, 77.07, 0.13; GCA_020724545.1, s__Methanoperedens nitroreducens_B, 95.0, 76.93, 0.13; GCA_902386135.1, s__Methanoperedens sp902386135, 95.0, 76.66, 0.13; GCA_902386085.1, s__Methanoperedens sp902386085, 95.0, 76.52, 0.15	99.46	11	0.9318176339004266	N/A
megahit:Sediment_GreatLakes_Pewabic_50_1_AA_-4.89_4.89:bin.10	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__	N/A	N/A	N/A	N/A	N/A	GCA_013330055.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__UBA8516 sp8516u	90.84	0.76	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023251795.1, s__UBA8516 sp023251795, 95.0, 91.64, 0.64; GCA_023251295.1, s__UBA8516 sp023251295, 95.0, 88.14, 0.7	89.4	11	0.9752140334155066	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
megahit:Sediment_GreatLakes_Pewabic_50_1_U_-0.86_0:bin.24	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__CSP1-1 sp001443365	GCA_001443365.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__CSP1-1 sp001443365	96.86	0.93	GCA_001443365.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__CSP1-1 sp001443365	96.86	0.93	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022573065.1, s__CSP1-1 sp022573065, 95.0, 81.09, 0.74; GCA_008974855.1, s__CSP1-1 sp008974855, 95.0, 81.01, 0.7; GCA_016276965.1, s__CSP1-1 sp016276965, 95.0, 78.29, 0.44	90.82	11	N/A	N/A
megahit:Sediment_GreatLakes_Pewabic_50_1_U_-0.86_0:bin.42	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAKLIN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_022709585.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAKLIN01;s__JAKLIN01 sp022709585	76.57	0.12	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	58.83	11	0.9053412193101614	N/A
megahit:Sediment_GreatLakes_Pewabic_50_1_U_-0.86_0:bin.49	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__EA-27;g__EA-27;s__	N/A	N/A	N/A	N/A	N/A	GCA_005878375.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__EA-27;g__EA-27;s__EA-27 sp005878375	79.09	0.44	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__EA-27;g__EA-27;s__	taxonomic classification defined by topology and ANI	N/A	GCA_016207545.1, s__EA-27 sp016207545, 95.0, 79.9, 0.49	89.06	11	0.8710782178868453	N/A
megahit:Sediment_Saipan-shallow_Hellcat_8.5_1_M_0.5_14.2:bin.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__GCA-020355125;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_020355125.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__GCA-020355125;g__GCA-020355125;s__GCA-020355125 sp020355125	74.38	0.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	54.91	11	0.6982797260283551	N/A
